 * Epoch 147: time=2.44s, test_loss=0.365, train_loss=0.365
 * Epoch 148: time=2.62s, test_loss=0.367, train_loss=0.367
 * Epoch 149: time=2.43s, test_loss=0.366, train_loss=0.366
 * Epoch 150: time=2.52s, test_loss=0.364, train_loss=0.364
 * Epoch 151: time=2.54s, test_loss=0.365, train_loss=0.365
 * Epoch 152: time=2.59s, test_loss=0.368, train_loss=0.368
 * Epoch 153: time=2.56s, test_loss=0.363, train_loss=0.363
 * Epoch 154: time=2.52s, test_loss=0.363, train_loss=0.363
 * Epoch 155: time=2.59s, test_loss=0.363, train_loss=0.363
 * Epoch 156: time=2.53s, test_loss=0.363, train_loss=0.363
 * Epoch 157: time=2.55s, test_loss=0.363, train_loss=0.363
 * Epoch 158: time=2.55s, test_loss=0.361, train_loss=0.361
 * Epoch 159: time=2.61s, test_loss=0.358, train_loss=0.358
 * Epoch 160: time=2.49s, test_loss=0.360, train_loss=0.360
 * Epoch 161: time=2.49s, test_loss=0.361, train_loss=0.361
 * Epoch 162: time=2.47s, test_loss=0.357, train_loss=0.357
 * Epoch 163: time=2.54s, test_loss=0.350, train_loss=0.350
 * Epoch 164: time=2.52s, test_loss=0.354, train_loss=0.354
 * Epoch 165: time=2.53s, test_loss=0.349, train_loss=0.349
 * Epoch 166: time=2.50s, test_loss=0.348, train_loss=0.348
 * Epoch 167: time=2.56s, test_loss=0.351, train_loss=0.351
 * Epoch 168: time=2.56s, test_loss=0.349, train_loss=0.349
 * Epoch 169: time=2.48s, test_loss=0.338, train_loss=0.338
 * Epoch 170: time=2.46s, test_loss=0.339, train_loss=0.339
 * Epoch 171: time=2.57s, test_loss=0.342, train_loss=0.342
 * Epoch 172: time=2.55s, test_loss=0.338, train_loss=0.338
 * Epoch 173: time=2.58s, test_loss=0.334, train_loss=0.334
 * Epoch 174: time=2.56s, test_loss=0.322, train_loss=0.322
 * Epoch 175: time=2.57s, test_loss=0.330, train_loss=0.330
 * Epoch 176: time=2.45s, test_loss=0.330, train_loss=0.330
 * Epoch 177: time=2.45s, test_loss=0.331, train_loss=0.331
 * Epoch 178: time=2.61s, test_loss=0.320, train_loss=0.320
 * Epoch 179: time=2.46s, test_loss=0.319, train_loss=0.319
 * Epoch 180: time=2.53s, test_loss=0.329, train_loss=0.329
 * Epoch 181: time=2.65s, test_loss=0.324, train_loss=0.324
 * Epoch 182: time=2.54s, test_loss=0.321, train_loss=0.321
 * Epoch 183: time=2.56s, test_loss=0.314, train_loss=0.314
 * Epoch 184: time=2.52s, test_loss=0.322, train_loss=0.322
 * Epoch 185: time=2.47s, test_loss=0.320, train_loss=0.320
 * Epoch 186: time=2.52s, test_loss=0.312, train_loss=0.312
 * Epoch 187: time=2.40s, test_loss=0.313, train_loss=0.313
 * Epoch 188: time=2.48s, test_loss=0.314, train_loss=0.314
 * Epoch 189: time=2.46s, test_loss=0.308, train_loss=0.308
 * Epoch 190: time=2.53s, test_loss=0.319, train_loss=0.319
 * Epoch 191: time=2.47s, test_loss=0.313, train_loss=0.313
 * Epoch 192: time=2.53s, test_loss=0.314, train_loss=0.314
 * Epoch 193: time=2.52s, test_loss=0.345, train_loss=0.345
 * Epoch 194: time=2.57s, test_loss=0.319, train_loss=0.319
 * Epoch 195: time=2.52s, test_loss=0.327, train_loss=0.327
 * Epoch 196: time=2.57s, test_loss=0.333, train_loss=0.333
 * Epoch 197: time=2.50s, test_loss=0.317, train_loss=0.317
 * Epoch 198: time=2.53s, test_loss=0.330, train_loss=0.330
 * Epoch 199: time=2.45s, test_loss=0.318, train_loss=0.318
 * Epoch 200: time=2.57s, test_loss=0.318, train_loss=0.318
 * Epoch 201: time=2.58s, test_loss=0.309, train_loss=0.309
 * Epoch 202: time=2.55s, test_loss=0.327, train_loss=0.327
 * Epoch 203: time=2.62s, test_loss=0.314, train_loss=0.314
 * Epoch 204: time=2.49s, test_loss=0.314, train_loss=0.314
 * Epoch 205: time=2.48s, test_loss=0.319, train_loss=0.319
 * Epoch 206: time=2.57s, test_loss=0.331, train_loss=0.331
 * Epoch 207: time=2.47s, test_loss=0.320, train_loss=0.320
 * Epoch 208: time=2.55s, test_loss=0.310, train_loss=0.310
 * Epoch 209: time=2.49s, test_loss=0.312, train_loss=0.312
 * Epoch 210: time=2.54s, test_loss=0.311, train_loss=0.311
 * Epoch 211: time=2.59s, test_loss=0.315, train_loss=0.315
 * Epoch 212: time=2.57s, test_loss=0.322, train_loss=0.322
 * Epoch 213: time=2.61s, test_loss=0.305, train_loss=0.305
 * Epoch 214: time=2.57s, test_loss=0.306, train_loss=0.306
 * Epoch 215: time=2.60s, test_loss=0.321, train_loss=0.321
 * Epoch 216: time=2.53s, test_loss=0.303, train_loss=0.303
 * Epoch 217: time=2.58s, test_loss=0.314, train_loss=0.314
 * Epoch 218: time=2.50s, test_loss=0.307, train_loss=0.307
 * Epoch 219: time=2.55s, test_loss=0.308, train_loss=0.308
 * Epoch 220: time=2.47s, test_loss=0.309, train_loss=0.309
 * Epoch 221: time=2.56s, test_loss=0.312, train_loss=0.312
 * Epoch 222: time=2.59s, test_loss=0.321, train_loss=0.321
 * Epoch 223: time=2.59s, test_loss=0.311, train_loss=0.311
 * Epoch 224: time=2.41s, test_loss=0.326, train_loss=0.326
 * Epoch 225: time=2.50s, test_loss=0.306, train_loss=0.306
 * Epoch 226: time=2.50s, test_loss=0.305, train_loss=0.305
 * Epoch 227: time=2.54s, test_loss=0.336, train_loss=0.336
 * Epoch 228: time=2.58s, test_loss=0.316, train_loss=0.316
 * Epoch 229: time=2.56s, test_loss=0.301, train_loss=0.301
 * Epoch 230: time=2.55s, test_loss=0.300, train_loss=0.300
 * Epoch 231: time=2.48s, test_loss=0.316, train_loss=0.316
 * Epoch 232: time=2.56s, test_loss=0.310, train_loss=0.310
 * Epoch 233: time=2.54s, test_loss=0.302, train_loss=0.302
 * Epoch 234: time=2.62s, test_loss=0.298, train_loss=0.298
 * Epoch 235: time=2.49s, test_loss=0.298, train_loss=0.298
 * Epoch 236: time=2.48s, test_loss=0.310, train_loss=0.310
 * Epoch 237: time=2.45s, test_loss=0.309, train_loss=0.309
 * Epoch 238: time=2.54s, test_loss=0.294, train_loss=0.294
 * Epoch 239: time=2.44s, test_loss=0.307, train_loss=0.307
 * Epoch 240: time=2.53s, test_loss=0.296, train_loss=0.296
 * Epoch 241: time=2.46s, test_loss=0.344, train_loss=0.344
 * Epoch 242: time=2.46s, test_loss=0.301, train_loss=0.301
 * Epoch 243: time=2.48s, test_loss=0.301, train_loss=0.301
 * Epoch 244: time=2.64s, test_loss=0.296, train_loss=0.296
 * Epoch 245: time=2.58s, test_loss=0.310, train_loss=0.310
 * Epoch 246: time=2.60s, test_loss=0.297, train_loss=0.297
 * Epoch 247: time=2.56s, test_loss=0.301, train_loss=0.301
 * Epoch 248: time=2.49s, test_loss=0.318, train_loss=0.318
 * Epoch 249: time=2.55s, test_loss=0.303, train_loss=0.303
 * Epoch 250: time=2.53s, test_loss=0.302, train_loss=0.302
 * Epoch 251: time=2.51s, test_loss=0.302, train_loss=0.302
 * Epoch 252: time=2.51s, test_loss=0.301, train_loss=0.301
 * Epoch 253: time=2.45s, test_loss=0.311, train_loss=0.311
 * Epoch 254: time=2.53s, test_loss=0.304, train_loss=0.304
 * Epoch 255: time=2.55s, test_loss=0.304, train_loss=0.304
 * Epoch 256: time=2.47s, test_loss=0.326, train_loss=0.326
 * Epoch 257: time=2.52s, test_loss=0.315, train_loss=0.315
 * Epoch 258: time=2.58s, test_loss=0.323, train_loss=0.323
 * Epoch 259: time=2.50s, test_loss=0.328, train_loss=0.328
 * Epoch 260: time=2.45s, test_loss=0.306, train_loss=0.306
 * Epoch 261: time=2.49s, test_loss=0.298, train_loss=0.298
 * Epoch 262: time=2.48s, test_loss=0.310, train_loss=0.310
 * Epoch 263: time=2.47s, test_loss=0.312, train_loss=0.312
 * Epoch 264: time=2.49s, test_loss=0.320, train_loss=0.320
 * Epoch 265: time=2.49s, test_loss=0.313, train_loss=0.313
 * Epoch 266: time=2.47s, test_loss=0.301, train_loss=0.301
 * Epoch 267: time=2.49s, test_loss=0.307, train_loss=0.307
 * Epoch 268: time=2.51s, test_loss=0.311, train_loss=0.311
